,Profissao,Experiencia,Habilidades,Nivel Educacao,Localizacao,Salario
548,Backend Developer,6,4,Bachelor,Singapore,106402
549,Frontend Developer,0,6,Bachelor,Sweden,99387
550,Cybersecurity Analyst,3,8,High School,Netherlands,117671
551,Cybersecurity Analyst,13,3,PhD,Singapore,137123
552,Software Engineer,19,1,Bachelor,Remote,162204
553,Machine Learning Engineer,4,5,Bachelor,Netherlands,117245
554,Software Engineer,11,11,PhD,Netherlands,127996
555,Machine Learning Engineer,2,18,Diploma,Netherlands,122020
556,AI Engineer,1,7,High School,Australia,127977
557,Data Scientist,1,3,Diploma,Netherlands,98218
558,Backend Developer,10,15,High School,UK,127304
559,Business Analyst,3,11,Master,Canada,143314
560,Backend Developer,8,15,High School,Sweden,123916
561,Backend Developer,0,14,PhD,India,78855
562,Backend Developer,17,1,Bachelor,Singapore,151532
563,Software Engineer,20,8,High School,Germany,161508
564,Machine Learning Engineer,17,15,Diploma,USA,202624
565,Cloud Engineer,1,16,Diploma,USA,174025
566,AI Engineer,20,13,High School,Remote,155205
567,Data Analyst,14,4,Bachelor,Canada,150047
568,Backend Developer,6,14,Bachelor,India,95276
569,Product Manager,17,18,Diploma,Netherlands,143471
570,Software Engineer,1,6,Diploma,Australia,113626
571,Frontend Developer,4,18,Master,Australia,132099
572,Business Analyst,17,14,Bachelor,Australia,123054
573,Data Analyst,18,10,High School,Canada,131033
574,Cloud Engineer,17,3,Bachelor,India,117073
575,Product Manager,16,12,Master,Canada,179822
576,Cloud Engineer,16,3,PhD,Canada,200631
577,Data Analyst,3,19,Bachelor,Singapore,93785
578,Backend Developer,4,10,Bachelor,Canada,157751
579,Product Manager,8,14,Diploma,Remote,136663
580,Cloud Engineer,17,6,Master,Netherlands,168990
581,Business Analyst,7,10,High School,Netherlands,86299
582,Machine Learning Engineer,8,14,Diploma,India,116536
583,Data Scientist,7,2,PhD,UK,156407
584,Machine Learning Engineer,1,15,Master,Germany,153739
585,Data Analyst,10,13,PhD,Singapore,135596
586,Software Engineer,1,15,Bachelor,Singapore,102866
587,Data Scientist,16,7,High School,Australia,127078
588,AI Engineer,1,1,Diploma,Netherlands,155170
589,Business Analyst,3,19,Master,Canada,161028
590,AI Engineer,4,2,Master,Germany,151331
591,Product Manager,11,4,Master,USA,234512
592,Cybersecurity Analyst,12,18,High School,Netherlands,136858
593,Data Scientist,17,3,Diploma,Remote,141290
594,AI Engineer,17,13,Master,Sweden,164877
595,AI Engineer,4,16,High School,Canada,169051
596,Cloud Engineer,13,9,High School,Australia,132717
597,Machine Learning Engineer,19,18,Diploma,Sweden,202383
598,Cloud Engineer,16,1,Bachelor,Remote,141064
599,Data Scientist,4,17,Bachelor,Germany,127972
600,Data Scientist,20,9,Bachelor,Remote,186145
601,Data Analyst,18,19,High School,Canada,146510
602,Cloud Engineer,17,10,Master,UK,172272
603,DevOps Engineer,15,9,Bachelor,Australia,135004
604,Frontend Developer,1,17,Master,Netherlands,126042
605,Machine Learning Engineer,4,7,Master,Sweden,168386
606,Data Scientist,5,1,Diploma,Australia,102224
607,Data Analyst,18,4,Diploma,Singapore,124986
608,Cybersecurity Analyst,17,4,Bachelor,UK,210569
609,Cloud Engineer,4,16,Diploma,UK,149972
610,Machine Learning Engineer,8,1,High School,Sweden,115386
611,Cybersecurity Analyst,6,11,High School,Canada,145964
612,Cloud Engineer,12,16,High School,UK,180482
613,AI Engineer,19,16,Diploma,Germany,193229
614,Cybersecurity Analyst,20,9,Diploma,Sweden,149184
615,Data Analyst,17,4,Master,Remote,124891
616,Machine Learning Engineer,11,18,Diploma,Australia,142106
617,Backend Developer,5,2,PhD,Germany,146613
618,Product Manager,17,16,PhD,Australia,200568
619,Product Manager,16,3,Diploma,Singapore,172431
620,Machine Learning Engineer,20,14,Diploma,Netherlands,193379
621,Cybersecurity Analyst,7,5,Master,India,112614
622,Cloud Engineer,7,14,Master,UK,168293
623,Data Analyst,15,8,High School,Canada,140017
624,Frontend Developer,2,4,PhD,Remote,126950
625,Product Manager,2,7,PhD,Germany,151595
626,Data Analyst,4,11,Diploma,India,61628
627,Product Manager,7,15,PhD,Sweden,162393
628,AI Engineer,18,14,Diploma,USA,260034
629,Cloud Engineer,17,2,Master,Remote,174252
630,AI Engineer,0,15,Bachelor,USA,165227
631,Product Manager,5,12,Diploma,Canada,141375
632,Backend Developer,0,8,Bachelor,Germany,128491
633,Backend Developer,14,10,Diploma,Singapore,120684
634,AI Engineer,17,7,Diploma,Remote,151652
635,Backend Developer,9,16,PhD,USA,192200
636,Product Manager,8,5,PhD,USA,222854
637,Machine Learning Engineer,11,15,High School,Netherlands,135019
638,AI Engineer,17,10,Diploma,USA,268299
639,Frontend Developer,5,11,High School,UK,134628
640,Frontend Developer,19,17,Master,Netherlands,140750
641,Software Engineer,18,10,PhD,UK,195742
642,Cybersecurity Analyst,7,17,PhD,India,94018
643,Cloud Engineer,8,5,Diploma,India,74045
644,Backend Developer,16,11,Diploma,India,82506
645,Backend Developer,12,8,Diploma,Remote,127325
646,Cybersecurity Analyst,10,12,Diploma,Canada,196691
647,Data Scientist,17,16,Master,Netherlands,158924
648,DevOps Engineer,15,13,Bachelor,UK,145611
649,AI Engineer,1,18,Bachelor,USA,211488
650,Business Analyst,6,4,Diploma,UK,106048
651,Backend Developer,18,9,Bachelor,Remote,182841
652,Cloud Engineer,0,1,Master,Sweden,116380
653,Software Engineer,13,11,PhD,Netherlands,138288
654,Frontend Developer,2,1,High School,UK,109976
655,Backend Developer,7,15,Bachelor,Remote,139456
656,Software Engineer,13,11,Bachelor,Germany,142278
657,Product Manager,2,11,Diploma,Netherlands,107340
658,Product Manager,7,15,Diploma,Netherlands,126128
659,DevOps Engineer,5,8,Bachelor,Canada,137560
660,Machine Learning Engineer,1,19,Bachelor,India,120362
661,Business Analyst,7,5,High School,UK,92407
662,Data Scientist,18,17,PhD,Australia,166263
663,DevOps Engineer,3,6,High School,Canada,109136
664,Data Analyst,9,17,Master,UK,167499
665,Data Scientist,12,10,Bachelor,Australia,139634
666,AI Engineer,13,11,PhD,Singapore,220440
667,Cloud Engineer,5,5,Bachelor,Germany,148866
668,Data Analyst,1,11,Master,Netherlands,75799
669,Data Analyst,12,10,Bachelor,India,73369
670,DevOps Engineer,7,16,Diploma,Canada,166861
671,Cybersecurity Analyst,16,2,High School,India,90028
672,Machine Learning Engineer,9,8,Diploma,USA,226252
673,Cybersecurity Analyst,10,13,Bachelor,Sweden,156370
674,DevOps Engineer,1,6,High School,Germany,96747
675,AI Engineer,19,5,High School,Netherlands,186747
676,Frontend Developer,20,10,Diploma,India,81898
677,Backend Developer,9,15,High School,Remote,102746
678,Backend Developer,20,9,PhD,Germany,164163
679,Machine Learning Engineer,4,5,PhD,UK,155371
680,AI Engineer,19,18,Diploma,Germany,193754
681,Machine Learning Engineer,11,16,Master,Sweden,167618
682,Software Engineer,16,5,Master,Singapore,145125
683,Cybersecurity Analyst,16,13,Diploma,Netherlands,156865
684,Backend Developer,1,6,Bachelor,Netherlands,113061
685,Data Analyst,9,9,PhD,Australia,107004
686,Cybersecurity Analyst,5,15,High School,Canada,142577
687,Business Analyst,15,9,Master,Germany,161498
688,Cloud Engineer,7,18,Master,UK,206994
689,AI Engineer,5,7,Bachelor,India,106462
690,Data Scientist,5,2,High School,UK,107079
691,Machine Learning Engineer,8,19,Bachelor,USA,190932
692,Cybersecurity Analyst,0,10,Bachelor,India,72567
693,Cloud Engineer,13,2,High School,Canada,151863
694,Cybersecurity Analyst,20,14,High School,Canada,230834
695,Data Scientist,12,9,Bachelor,Australia,136028
696,Cloud Engineer,13,5,High School,India,92702
697,Business Analyst,20,2,High School,Canada,168706
698,Data Scientist,19,1,Diploma,Sweden,175406
699,DevOps Engineer,13,4,PhD,Singapore,193325
700,Product Manager,0,12,Diploma,UK,115902
701,DevOps Engineer,3,5,Diploma,Australia,95425
702,Backend Developer,17,8,High School,Sweden,113716
703,Cybersecurity Analyst,6,19,Bachelor,Australia,122127
704,Product Manager,6,2,High School,India,75243
705,DevOps Engineer,11,8,Master,India,123671
706,Product Manager,16,10,Diploma,Netherlands,140834
707,Frontend Developer,7,9,High School,Remote,106882
708,Cybersecurity Analyst,2,7,PhD,Singapore,149906
709,Product Manager,20,7,Diploma,USA,219264
710,Data Analyst,20,18,Master,India,125270
711,Machine Learning Engineer,3,1,PhD,Canada,162954
712,Machine Learning Engineer,13,15,PhD,Australia,161503
713,Data Analyst,10,2,Bachelor,UK,102213
714,Cloud Engineer,15,5,Bachelor,Netherlands,161414
715,Software Engineer,20,12,Master,USA,200075
716,Cloud Engineer,12,3,Bachelor,Remote,148317
717,Data Scientist,18,13,Bachelor,Germany,158882
718,Data Scientist,18,16,Diploma,Netherlands,190687
719,Product Manager,10,8,PhD,Remote,149339
720,DevOps Engineer,5,10,Diploma,Remote,107889
721,DevOps Engineer,0,14,High School,UK,104053
722,Machine Learning Engineer,12,3,High School,Netherlands,138436
723,AI Engineer,18,12,Master,Singapore,222487
724,Cloud Engineer,11,12,PhD,UK,206078
725,Frontend Developer,7,11,Diploma,USA,174034
726,Cybersecurity Analyst,13,10,Bachelor,UK,136796
727,Backend Developer,8,5,PhD,India,128003
728,Business Analyst,8,12,Master,Netherlands,112660
729,DevOps Engineer,7,4,Bachelor,Netherlands,150373
730,Cybersecurity Analyst,2,13,Diploma,Netherlands,135496
731,Business Analyst,18,4,Master,Australia,123752
732,Cybersecurity Analyst,0,5,Master,Australia,124473
733,Product Manager,13,18,Master,Sweden,167452
734,Business Analyst,14,11,Master,Singapore,171408
735,Backend Developer,19,11,Diploma,Sweden,171246
736,Cybersecurity Analyst,18,13,High School,UK,195961
737,Data Analyst,0,10,Master,Germany,107806
738,Backend Developer,7,6,Master,USA,194099
739,Business Analyst,1,10,PhD,Remote,130028
740,Backend Developer,10,14,Master,India,116948
741,Cybersecurity Analyst,13,8,High School,Remote,120310
742,Software Engineer,13,12,Bachelor,UK,146521
743,Cybersecurity Analyst,16,9,Master,Australia,161013
744,Cybersecurity Analyst,3,14,PhD,Singapore,122747
745,Product Manager,4,9,High School,Netherlands,134701
746,Cloud Engineer,2,12,High School,India,76861
747,Data Analyst,4,3,Master,India,69747
748,Frontend Developer,13,11,PhD,UK,176362
749,DevOps Engineer,7,12,PhD,Australia,141602
750,Data Scientist,0,9,PhD,Netherlands,117856
751,Cloud Engineer,2,18,Bachelor,India,95119
752,Data Scientist,19,13,PhD,Netherlands,213563
753,Product Manager,16,5,High School,Singapore,164286
754,Data Analyst,10,3,PhD,Remote,107701
755,Cybersecurity Analyst,12,13,PhD,Singapore,157332
756,Machine Learning Engineer,2,1,High School,Canada,126161
757,DevOps Engineer,17,2,Master,Netherlands,182388
758,Software Engineer,3,7,PhD,Germany,146751
759,Machine Learning Engineer,16,19,Bachelor,UK,190303
760,Product Manager,6,15,Master,Singapore,139632
761,Cloud Engineer,7,13,Bachelor,Australia,154051
762,Software Engineer,3,7,PhD,Remote,162708
763,Backend Developer,6,3,Diploma,Germany,127197
764,Business Analyst,16,18,Diploma,Netherlands,109675
765,Software Engineer,10,5,PhD,India,85895
766,Frontend Developer,11,1,PhD,USA,206931
767,Product Manager,13,8,Bachelor,Remote,140322
768,AI Engineer,18,2,Diploma,Sweden,182029
769,Business Analyst,14,8,Diploma,Netherlands,136145
770,Data Scientist,17,15,High School,India,102473
771,DevOps Engineer,11,12,High School,Singapore,118972
772,Data Scientist,10,2,High School,India,87411
773,Software Engineer,20,4,Master,Sweden,156105
774,Data Scientist,19,11,High School,Australia,149157
775,Frontend Developer,18,5,Bachelor,UK,159726
776,Product Manager,2,10,Diploma,Sweden,134127
777,Backend Developer,16,19,Diploma,Remote,171087
778,Cloud Engineer,18,3,Bachelor,UK,202613
779,DevOps Engineer,12,6,PhD,Sweden,149243
780,Frontend Developer,6,14,PhD,Remote,121659
781,Frontend Developer,9,3,Master,Germany,142672
782,Data Scientist,7,3,Diploma,Sweden,114326
783,Data Scientist,6,19,Bachelor,Canada,193230
784,Software Engineer,9,16,Master,Australia,165981
785,Cloud Engineer,4,7,Master,Australia,155595
786,Machine Learning Engineer,17,8,High School,Singapore,190588
787,Data Scientist,9,1,Bachelor,Germany,143550
788,Product Manager,4,12,High School,USA,145066
789,AI Engineer,3,4,Master,Sweden,174094
790,DevOps Engineer,20,7,PhD,UK,253445
791,Cybersecurity Analyst,6,2,Master,Germany,170210
792,Data Scientist,8,10,Diploma,India,80304
793,Product Manager,3,9,Diploma,Remote,109855
794,Product Manager,0,11,High School,India,71975
795,DevOps Engineer,9,1,High School,UK,149459
796,Machine Learning Engineer,17,6,PhD,Canada,207139
797,Product Manager,16,14,High School,Canada,197852
798,AI Engineer,9,18,PhD,Australia,173546
799,Product Manager,20,6,Bachelor,Sweden,161581
800,Product Manager,1,2,High School,India,84923
801,Product Manager,13,10,Master,UK,180101
802,Backend Developer,20,1,Diploma,UK,142580
803,Backend Developer,13,19,PhD,Netherlands,161395
804,Machine Learning Engineer,0,3,PhD,Netherlands,143676
805,Data Scientist,4,17,Bachelor,Remote,128728
806,Product Manager,13,3,PhD,Netherlands,185924
807,Cloud Engineer,1,8,Bachelor,Remote,113801
808,Data Scientist,20,11,Bachelor,Germany,198644
809,Machine Learning Engineer,10,18,PhD,Canada,206357
810,Data Analyst,18,10,PhD,Netherlands,189353
811,Data Scientist,12,8,Master,Canada,149172
812,Data Scientist,10,18,Master,USA,230819
813,Business Analyst,5,8,Master,Remote,132304
814,Software Engineer,7,7,High School,USA,143056
815,Cybersecurity Analyst,14,3,PhD,Netherlands,162554
816,Business Analyst,19,2,High School,Remote,109044
817,AI Engineer,0,8,Master,Canada,194943
818,Backend Developer,13,19,Master,Canada,162024
819,Backend Developer,16,14,Bachelor,Germany,146408
820,Software Engineer,5,14,Master,Netherlands,131905
821,DevOps Engineer,1,3,Bachelor,Australia,83923
822,DevOps Engineer,8,1,High School,Sweden,115056
823,Machine Learning Engineer,2,1,Bachelor,Remote,109281
824,Frontend Developer,19,1,Bachelor,Australia,131732
825,Software Engineer,14,7,Diploma,Netherlands,136207
826,Cybersecurity Analyst,3,7,High School,Singapore,94346
827,Data Scientist,7,6,Diploma,Remote,137938
828,DevOps Engineer,1,17,PhD,UK,158810
829,Cybersecurity Analyst,1,19,Master,Australia,122983
830,Product Manager,13,1,Diploma,Australia,155567
831,Frontend Developer,12,12,Diploma,UK,123988
832,Cloud Engineer,15,2,High School,Singapore,173096
833,Data Scientist,4,5,Diploma,India,68742
834,AI Engineer,2,4,High School,Australia,136994
835,Product Manager,6,6,PhD,Germany,161017
836,Product Manager,3,19,Diploma,Netherlands,116974
837,Software Engineer,16,11,Bachelor,Sweden,166152
838,Frontend Developer,15,4,Bachelor,Sweden,138651
839,Machine Learning Engineer,14,7,Master,USA,254965
840,AI Engineer,4,12,High School,Remote,119502
841,DevOps Engineer,10,13,High School,Singapore,148235
842,Cybersecurity Analyst,11,15,PhD,Sweden,150802
843,Software Engineer,18,18,Diploma,Australia,143676
844,DevOps Engineer,8,16,PhD,Australia,143086
845,Software Engineer,10,7,Master,UK,164362
846,Software Engineer,18,18,Bachelor,India,122765
847,Software Engineer,1,6,PhD,Canada,152085
848,Frontend Developer,15,12,Master,Germany,148854
849,Machine Learning Engineer,4,15,PhD,Remote,184748
850,Software Engineer,8,14,High School,USA,143252
851,Data Analyst,9,8,Diploma,Australia,112903
852,Cloud Engineer,13,19,Bachelor,Netherlands,167169
853,DevOps Engineer,0,3,Master,Germany,127088
854,Data Scientist,18,11,Diploma,Remote,133875
855,Business Analyst,20,4,Bachelor,Netherlands,117127
856,Cybersecurity Analyst,19,2,PhD,Canada,220571
857,AI Engineer,7,2,Diploma,Australia,148054
858,Backend Developer,0,3,Bachelor,Germany,99229
859,Machine Learning Engineer,7,19,Master,Germany,200465
860,Data Scientist,2,19,Master,Remote,162503
861,Product Manager,15,7,Diploma,USA,191542
862,Data Analyst,7,7,PhD,USA,116330
863,Backend Developer,20,12,Master,Canada,175402
864,Business Analyst,19,13,Master,Germany,153848
865,Data Scientist,3,3,Master,USA,146289
866,Backend Developer,5,7,Diploma,Sweden,111954
867,Data Scientist,12,8,High School,Singapore,123330
868,Cybersecurity Analyst,6,10,Diploma,Canada,151236
869,Data Analyst,0,3,High School,Sweden,88851
870,Business Analyst,14,15,Bachelor,Germany,137423
871,Product Manager,14,10,Master,Singapore,145657
872,Software Engineer,11,1,High School,Canada,173316
873,DevOps Engineer,4,11,PhD,Australia,135148
874,Product Manager,0,8,Diploma,Sweden,139757
875,Software Engineer,17,16,High School,India,118320
876,Frontend Developer,20,12,Master,Remote,182150
877,Frontend Developer,2,10,Bachelor,Canada,108752
878,Frontend Developer,11,10,Diploma,Canada,177451
879,Machine Learning Engineer,17,14,Master,India,152226
880,Cloud Engineer,13,2,High School,Netherlands,130958
881,AI Engineer,18,17,Diploma,Singapore,203591
882,AI Engineer,18,19,High School,Canada,204913
883,Frontend Developer,8,19,PhD,Remote,129663
884,DevOps Engineer,2,2,Diploma,Germany,145581
885,Business Analyst,18,4,PhD,Remote,135908
886,Data Analyst,18,10,High School,Canada,168124
887,Business Analyst,17,7,Master,UK,168547
888,Data Analyst,3,7,Bachelor,Remote,95851
889,Business Analyst,16,3,Master,Australia,146768
890,Cloud Engineer,7,7,Master,Germany,194056
891,Machine Learning Engineer,19,2,PhD,Canada,200157
892,Machine Learning Engineer,7,14,Master,Netherlands,157352
893,Frontend Developer,4,11,High School,Australia,91996
894,Software Engineer,15,11,PhD,Netherlands,185704
895,Backend Developer,18,19,Diploma,Canada,192219
896,Machine Learning Engineer,13,10,Diploma,UK,172438
897,Machine Learning Engineer,12,4,Diploma,Australia,140950
898,Product Manager,12,19,PhD,Sweden,176762
899,Product Manager,9,16,Diploma,Netherlands,155709
900,Software Engineer,19,15,Master,Netherlands,162676
901,Cybersecurity Analyst,4,6,High School,Australia,101480
902,Backend Developer,19,9,High School,Australia,152939
903,DevOps Engineer,14,3,Diploma,Australia,156768
904,Product Manager,1,14,High School,Germany,119563
905,DevOps Engineer,15,17,Diploma,Germany,161329
906,Data Scientist,16,13,Master,Remote,142132
907,Product Manager,15,19,Master,UK,239595
908,Cloud Engineer,10,6,PhD,USA,194043
909,Cybersecurity Analyst,10,6,High School,Germany,153450
910,Backend Developer,16,12,Master,USA,191760
911,Software Engineer,0,18,Bachelor,Netherlands,93583
912,Data Scientist,13,11,PhD,Remote,140891
913,Backend Developer,3,3,Master,Canada,176048
914,Frontend Developer,19,2,Master,Germany,136432
915,Cloud Engineer,12,6,Diploma,Canada,168170
916,Backend Developer,5,2,Master,Singapore,134855
917,Cloud Engineer,12,12,Diploma,Remote,143630
918,Cloud Engineer,20,16,Diploma,Canada,202825
919,DevOps Engineer,15,16,PhD,Australia,198443
920,Business Analyst,8,6,Bachelor,India,60338
921,Frontend Developer,13,11,High School,Netherlands,116909
922,Data Scientist,11,18,High School,USA,170931
923,Backend Developer,7,8,Diploma,Singapore,117549
924,Data Analyst,15,16,PhD,USA,210913
925,Data Scientist,17,12,PhD,Remote,180129
926,Business Analyst,3,2,PhD,Sweden,124600
927,Data Scientist,19,12,Master,Netherlands,177073
928,Machine Learning Engineer,6,14,High School,UK,176476
929,Data Analyst,5,8,PhD,India,62693
930,Business Analyst,6,15,Master,Australia,101370
931,DevOps Engineer,9,6,PhD,Remote,139707
932,Backend Developer,7,11,Bachelor,Sweden,108283
933,Cybersecurity Analyst,4,10,Diploma,Germany,118236
934,AI Engineer,17,4,High School,Canada,181687
935,Business Analyst,11,13,High School,Australia,101320
936,Software Engineer,0,9,Bachelor,Remote,93671
937,Backend Developer,2,7,Bachelor,Australia,113549
938,Frontend Developer,8,12,High School,Singapore,113740
939,Business Analyst,14,19,PhD,Remote,144879
940,Machine Learning Engineer,1,2,Diploma,Netherlands,130892
941,AI Engineer,1,12,High School,Sweden,111853
942,Machine Learning Engineer,7,5,Bachelor,UK,158138
943,AI Engineer,14,15,Master,Remote,164175
944,Frontend Developer,14,5,PhD,Remote,127889
945,Cybersecurity Analyst,1,14,Bachelor,Remote,123006
946,Software Engineer,13,17,Bachelor,Germany,167951
947,Backend Developer,1,12,High School,India,61271
948,DevOps Engineer,19,5,Bachelor,UK,208357
949,Machine Learning Engineer,16,16,Bachelor,India,109776
950,Machine Learning Engineer,7,9,Bachelor,Australia,173725
951,Cloud Engineer,20,16,PhD,USA,292855
952,AI Engineer,14,12,PhD,UK,189488
953,Product Manager,20,15,Diploma,Australia,158265
954,Cybersecurity Analyst,7,11,PhD,USA,214458
955,Backend Developer,12,18,High School,Remote,122432
956,AI Engineer,0,17,Bachelor,Canada,174721
957,Cloud Engineer,17,6,Bachelor,UK,176972
958,Data Scientist,13,14,High School,Germany,139467
959,AI Engineer,8,14,Diploma,Australia,145355
960,DevOps Engineer,16,2,High School,Sweden,128049
961,Backend Developer,5,12,Bachelor,Australia,98571
962,Cybersecurity Analyst,5,6,PhD,Germany,155887
963,Cloud Engineer,2,5,Master,India,84622
964,Data Scientist,10,17,High School,Remote,114906
965,Data Analyst,8,18,Master,India,70164
966,Cloud Engineer,14,8,High School,Remote,160987
967,Data Analyst,13,9,Master,Singapore,140418
968,Backend Developer,5,2,Diploma,Singapore,131287
969,Machine Learning Engineer,12,7,Master,Australia,151911
970,Cloud Engineer,18,5,Bachelor,USA,189793
971,Software Engineer,10,2,High School,Germany,131454
972,Data Analyst,7,2,High School,Sweden,85181
973,DevOps Engineer,20,6,Diploma,Australia,138684
974,Software Engineer,7,3,Bachelor,India,97676
975,Business Analyst,17,10,Master,Netherlands,127349
976,Business Analyst,11,14,Diploma,India,70550
977,Data Scientist,9,14,PhD,Netherlands,154741
978,Cybersecurity Analyst,6,15,PhD,Remote,142140
979,Machine Learning Engineer,20,6,High School,Remote,202412
980,Backend Developer,20,5,Diploma,India,99128
981,Cloud Engineer,19,9,High School,India,91413
982,Product Manager,8,16,Diploma,Germany,139968
983,DevOps Engineer,7,6,PhD,Germany,170360
984,Data Analyst,10,10,Diploma,Australia,98339
985,Backend Developer,5,12,High School,USA,163877
986,Software Engineer,2,16,Master,Remote,154674
987,Frontend Developer,19,10,High School,Australia,120700
988,Business Analyst,13,12,PhD,Remote,120623
989,Frontend Developer,13,12,Diploma,Germany,157997
990,DevOps Engineer,14,12,High School,Sweden,132698
991,Product Manager,0,4,High School,UK,150037
992,Cloud Engineer,11,19,Master,Germany,150764
993,Data Scientist,10,3,PhD,Germany,181546
994,Product Manager,6,4,High School,Singapore,122594
995,DevOps Engineer,11,4,Master,UK,162467
996,Product Manager,8,12,High School,India,94651
997,DevOps Engineer,12,16,Master,Sweden,181765
998,DevOps Engineer,12,14,High School,USA,169701
999,AI Engineer,5,2,High School,India,111335
